number;valid_to;call_sign;category;transmitter_power;applicant_name;applicant_city;applicant_street;applicant_house;applicant_number;enduser_name;enduser_city;enduser_street;enduser_house;enduser_number;station_city;station_street;station_house;station_number;lat;lng
1/K/C/2016;2026-03-16;SP4ZHP;Kategoria1;500;Zwi¹zek Harcerstwa Polskiego, Chor¹giew Bia³ostocka;Bia³ystok;Pa³acowa;3/1;"";Zwi¹zek Harcerstwa Polskiego, Chor¹giew Bia³ostocka;Bia³ystok;Pa³acowa;3/1;"";Bia³ystok;ul. Pu³askiego;96;"";;
2/K/C/2016;2026-07-14;SP4YPB;Kategoria1;500;Politechnika Bia³ostocka;Bia³ystok;ul. Wiejska;45A;"";Politechnika Bia³ostocka;Bia³ystok;ul. Wiejska;45A;"";Bia³ystok;ul. Zwierzyniecka;12;913;;
5/K/D/2015;2025-05-26;SP2ZDZ;Kategoria1;500;Chor¹giew Kujawsko-Pomorska Zwi¹zku Harcerstwa Polskiego;Bydgoszcz;ul. Dworcowa;56;"";Klub £¹cznoœci Hufca ZHP Brodnica;Brodnica;Mazurska;28;"";Brodnica;Mazurska;28;"";;
3/K/D/2016;2026-02-17;SP2PBM;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;ul. Augustyna Kordeckiego;66;U1;Polski Zwi¹zek Krótkofalowców;Warszawa;ul. Augustyna Kordeckiego;66;U1;Bydgoszcz;Kujawska;48;33;;
8/K/D/2016;2026-04-02;SP2KPD;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;ul. Augustyna Kordeckiego;66;U1;Polski Zwi¹zek Krótkofalowców;Warszawa;ul. Augustyna Kordeckiego;66;U1;¯nin;ul. Szkolna;12;"";;
9/K/D/2016;2026-04-20;SP2KFU;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;ul. Augustyna Kordeckiego;66;U1;Radiostacja Klubowa LOK przy Golubsko-Dobrzyñskim Domu Kultury;Golub-Dobrzyñ;ul. Hallera;13;"";Golub-Dobrzyñ;ul. Nowa;8;7;;
10/K/D/2016;2026-04-20;SP2PTU;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;ul. Augustyna Kordeckiego;66;U1;Oddzia³ Terenowy Polskiego Zwi¹zku Krótkofalowców im. Miko³aja Kopernika w Toruniu;Toruñ;Tuwima;9;"";Nowe Dobra;"";96;"";;
18/K/D/2016;2026-05-24;SP2PWO;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;ul. Augustyna Kordeckiego;66;U1;Radiostacja Klubowa PZK przy W¹brzeskim Domu Kultury;W¹brzeŸno;ul. Wolnoœci;47;"";W¹brzeŸno;ul. Wolnoœci;47;"";;
26/K/D/2016;2026-09-13;SP2KFL;Kategoria1;500;Liga Obrony Kraju;Warszawa;ul. Chocimska;14;"";Klub £¹cznoœci Ligi Obrony Kraju SP2KFL;W³oc³awek;ul. Wronia;23;25;W³oc³awek;ul. Wronia;23;25;;
0025/K/E/2015;2025-03-26;SP2KFQ;Kategoria1;500;Liga Obrony Kraju;Warszawa;ul. Chocimska;14;"";Klub £¹cznoœci LOK SP2KFQ;CHOJNICE;ul. Wysoka;3c;211;Chojnice;ul. Wysoka;3c;211;;
