number;valid_to;call_sign;category;transmitter_power;name_type_station;emission;input_frequency;output_frequency;station_location
DC.WML.5101.2456.2020.2;2025-10-05;SR9WXA;Kategoria5;15;StacjaPogodowaAPRS;"";144.8;144.8;Sopotnia Wielka
DC.WML.5101.2533.2020.2;2025-10-14;SR9TM;Kategoria5;15;PrzemiennikFMDV;"";430.9125;438.5125;Pcim - Kud³acze
DC.WML.5101.2639.2020.2;2025-10-30;SR5WI;Kategoria5;15;CyfrowyPrzemiennik;"";431.3;438.9;Warszawa
DC.WML.5101.2640.2020.2;2025-10-30;SR5WIL;Kategoria5;15;PrzekaznikAPRS;"";144.8;144.8;Warszawa
DC.WML.5101.2643.2020.3;2025-11-04;SR6WRC;Kategoria5;15;AnalogowyPrzemiennikFM;"";430.175;70.26, 70.28;Mokronos Górny
DC.WML.5101.2732.2020.3;2025-11-11;SR4EL;Kategoria5;15;PrzemiennikFMDV;"";431.45;439.05;Elbl¹g
DC.WML.5101.2825.2020.2;2025-11-19;SR9VJP;Kategoria5;15;CyfrowyPrzemiennik;"";430.9875;438.5875;PowroŸnik
DC.WML.5101.2839.2020.3;2025-11-20;SR9C4FM;Kategoria5;15;PrzemiennikFMDV;"";144.8625;144.8625;Mordarka
DC.WML.5101.2914.2020.2;2030-12-01;SR9UAL;Kategoria5;15;PrzemiennikFMDV;"";431.05;438.65;£ódŸ
DC.WML.5101.2920.2020.2;2025-12-01;SR9WXG;Kategoria5;15;StacjaPogodowaAPRS;"";144.8;144.8;Grybów - Góra Che³m
DC.WML.5101.2923.2020.2;2025-12-23;SR4SU;Kategoria5;15;AnalogowyPrzemiennikFM;"";431.2;438.8;Czerwone Bagno
DC.WML.5101.3004.2020.2;2025-12-10;SR9DGC;Kategoria5;15;CyfrowyPrzemiennik;"";430.775;438.375;Gliwice
DC.WML.5101.3071.2020.2;2026-01-03;SR9BN;Kategoria5;15;PrzemiennikFMDV;"";431.625;439.225;Bêdzin
DC.WML.5101.38.2021.3;2026-01-12;SR7WX;Kategoria5;15;StacjaPogodowa;"";144.95;144.95;Tomaszów Mazowiecki
DC.WML.5101.43.2021.2;2026-01-12;SR1UVH;Kategoria5;15;CyfrowyPrzemiennik;"";431.425;439.025;Œwinoujœcie
DC.WML.5101.55.2021.2;2026-01-13;SR6DMO;Kategoria5;15;PrzemiennikFMDV;"";431.025;438.625;O³awa
DC.WML.5101.88.2021.2;2026-02-11;SR7KU;Kategoria5;15;AnalogowyPrzemiennikFM;"";431.325;438.925;Kutno
DC.WML.5101.89.2021.2;2026-01-15;SR6HBL;Kategoria5;15;PrzemiennikFMDV;"";430.95;438.55;Wroc³aw
DC.WML.5101.90.2021.2;2026-01-15;SR8KR;Kategoria5;15;PrzemiennikFMDV;"";431.025;438.625;Czarnorzeki
DC.WML.5101.145.2021.2;2026-01-21;SR8WXD;Kategoria5;15;StacjaPogodowaAPRS;"";144.8, 50.8;144.8, 50.8;Teodorówka - Wzgórze 534
DC.WML.5101.146.2021.2;2026-01-21;SR6WXO;Kategoria5;15;StacjaPogodowa;"";144.95;144.95;Borki Wielkie
DC.WML.5101.147.2021.2;2026-01-21;SR7LO;Kategoria5;15;PrzemiennikFMDV;"";1270.7;1298.7;£ódŸ
DC.WML.5101.149.2021.3;2026-01-22;SR7LL;Kategoria5;15;CyfrowyPrzemiennik;"";145.1125;145.7125;£ódŸ
DC.WML.5101.283.2021.3;2026-02-03;SR2FM;Kategoria5;15;AnalogowyPrzemiennikFM;"";431.2125;438.8125;Jab³owo Pa³uckie
DC.WML.5101.284.2021.2;2026-02-03;SR2BYD;Kategoria5;15;CyfrowyPrzemiennik;"";145.1875;145.7875;Bydgoszcz
DC.WML.5101.429.2021.2;2026-02-17;SR5DOT;Kategoria5;15;CyfrowyPrzekaznik;"";432.5;432.5;Otwock
DC.WML.5101.450.2021.2;2026-02-18;SR7LDA;Kategoria5;15;CyfrowyPrzemiennik;"";430.85;438.45;£ódŸ
DC.WML.5101.536.2021.2;2026-02-24;SR2BB;Kategoria5;15;CyfrowyPrzemiennik;"";431.8125;439.4125;Bydgoszcz
DC.WML.5101.600.2021.2;2026-03-01;SR5RA;Kategoria5;15;PrzemiennikFMDV;"";431.325;438.925;Radom
DC.WML.5101.793.2021.2;2026-03-15;SR9DBY;Kategoria5;15;PrzemiennikFMDV;"";431.55;439.15;Bytom
DC.WML.5101.804.2021.2;2026-04-01;SR7NWK;Kategoria5;5;CyfrowyPrzemiennik;"";433.8, 432.5, 144.8, 50.7;433.8, 432.5, 144.8, 50.7;Jêdrzejów
DC.WML.5101.822.2021.2;2026-03-17;SR3WLK;Kategoria5;15;CyfrowaStacjaWezlowa;"";3.587, 7.062, 14.112, 438.05, 2400.1;3.587, 7.062, 14.112, 438.05, 2400.1;Poznañ
DC.WML.5101.840.2021.2;2026-03-19;SR6WXP;Kategoria5;15;StacjaPogodowaAPRS;"";144.8;144.8;Polska Nowa Wieœ - Lotnisko Aeroklubu Opolskiego
DC.WML.5101.1005.2021.3;2026-04-02;SR9VVO;Kategoria5;15;PrzemiennikFMDV;"";431.8375;439.4375;Lichwin - Telewizyjny Oœrodek Nadawczy
DC.WML.5101.1006.2021.3;2026-04-02;SR9VO;Kategoria5;15;AnalogowyPrzemiennikFM;"";431.475;439.075;Tarnów
DC.WML.5101.1007.2021.3;2026-04-02;SR9KAO;Kategoria5;15;PrzemiennikFMDV;"";431.6125;439.2125;Tarnów
DC.WML.5101.1077.2021.2;2026-04-14;SR3PX;Kategoria5;15;AnalogowyPrzemiennikFM;"";431.3;438.9;S³omowo
DC.WML.5101.1099.2021.2;2026-04-12;SR1NRE;Kategoria5;15;CyfrowyPrzemiennik;"";144.9, 144.8;144.9, 144.8;Szczecin
DC.WML.5101.1100.2021.2;2026-04-12;SR1BSZ;Kategoria5;15;CyfrowyPrzemiennik;"";144.9;144.9;Szczecin
