Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,Mode,TStep,Comment
1,SR0CK,439.062500,-,7.600000,Tone,77.0,77.0,FM,12.5,Serock
2,SR0DZ,439.537500,-,7.600000,,88.5,77.0,FM,12.5,Serock
3,SR0WW,438.825000,-,7.600000,Tone,82.5,82.5,FM,12.5,Wolin
5,SR1CH,145.787500,split,439.500000,Tone,82.5,82.5,FM,12.5,Czartoryja
7,SR1G,145.625000,-,0.600000,Tone,88.5,88.5,FM,12.5,Kołobrzeg
8,SR1K,145.700000,-,0.600000,Tone,82.5,82.5,FM,12.5,Stargard
10,SR1KN,438.675000,-,7.600000,,88.5,88.5,FM,12.5,Koszalin Góra Chełmska - wieża widokowa
11,SR1N,145.675000,-,0.600000,,88.5,88.5,FM,12.5,Koszalin
12,SR1RE,439.150000,-,7.600000,Tone,88.5,88.5,FM,12.5,Resko
13,SR1RG,438.875000,-,7.600000,Tone,82.5,82.5,FM,12.5,Trzebiatów
14,SR1SZ,439.075000,-,7.600000,Tone,82.5,82.5,FM,12.5,Szczecin
15,SR1UVH,439.025000,-,7.600000,,88.5,88.5,DV,12.5,Świnoujście
16,SR1UVS,439.412500,-,7.600000,,88.5,88.5,DV,12.5,Szczecin
19,SR1W,145.612500,-,0.600000,Tone,82.5,82.5,FM,12.5,Świnoujście
20,SR1WA,439.400000,-,7.600000,Tone,82.5,82.5,FM,12.5,Wałcz
22,SR1WU,438.725000,-,7.600000,Tone,82.5,82.5,FM,12.5,Świnoujście
24,SR1Z,145.637500,-,0.600000,Tone,82.5,82.5,FM,12.5,Kołowo EMITEL
25,SR1ZK-B,439.300000,-,7.600000,,88.5,88.5,DV,12.5,Kołowo
28,SR2BG,145.725000,-,0.600000,Tone,67.0,67.0,FM,12.5,Bydgoszcz
29,SR2BT,439.100000,-,7.600000,Tone,77.0,77.0,FM,12.5,Bory Tucholskie
30,SR2BW,438.700000,-,7.600000,,88.5,88.5,FM,12.5,Bytów - komin ciepłowni Veolia Północ
31,SR2C,145.600000,-,0.600000,Tone,94.8,94.8,FM,12.5,Chwaszczyno EMITEL
34,SR2EL,439.550000,-,7.600000,Tone,94.8,94.8,FM,12.5,Elbląg
35,SR2FM,439.537500,-,7.600000,Tone,74.4,74.4,FM,12.5,Szubin - Jabłowo Pałuckie / wieża p.poż
37,SR2GA,438.975000,-,7.600000,Tone,94.8,94.8,FM,12.5,Władysławowo
38,SR2GD,439.075000,-,7.600000,Tone,94.8,94.8,FM,12.5,Gdańsk
39,SR2GD-C,439.087500,-,7.600000,Tone,94.8,94.8,FM,12.5,Gdańsk
40,SR2GDA,439.350000,-,7.600000,Tone,94.8,94.8,FM,12.5,Pruszcz Gdański
42,SR2GN,439.325000,-,7.600000,Tone,94.8,94.8,FM,12.5,Gniewino - Wieża widokowa
43,SR2GR,439.200000,-,7.600000,Tone,94.8,88.5,FM,12.5,Grudziądz
44,SR2GRU,145.687500,-,0.600000,Tone,94.8,88.5,FM,12.5,Grudziądz
45,SR2GS,438.550000,-,7.600000,Tone,94.8,94.8,FM,12.5,Chwaszczyno
46,SR2GT,439.025000,-,7.600000,Tone,94.8,94.8,FM,12.5,Chwaszczyno EMITEL
48,SR2J,145.587500,-,0.600000,Tone,74.4,74.4,FM,12.5,Szubin - Jabłowo Pałuckie / wieża p.poż
49,SR2JJ,439.162500,-,7.600000,Tone,74.4,74.4,FM,12.5,Szubin - Jabłowo Pałuckie / wieża p.poż
50,SR2K,145.712500,-,0.600000,Tone,88.5,88.5,FM,12.5,Toruń
51,SR2KU,439.425000,-,7.600000,Tone,94.8,94.8,FM,12.5,Wieżyca
52,SR2KY,439.250000,-,7.600000,,88.5,88.5,FM,12.5,Kwidzyn
