Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Show Name,Tone Mode,CTCSS,Rx CTCSS,DCS,Rx DCS,Skip,Step,Mask,Attenuator,Comment,IPO,
1,439.4,431.8,7.600000,Minus,FM,DB0AER,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
2,145.6125,145.0125,0.600000,Minus,FM,DB0AF,On,Tone,123.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
3,145.625,145.025,0.600000,Minus,FM,DB0ANA,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
4,439.225,431.625,7.600000,Minus,FM,DB0ARB,On,Tone,71.9 Hz,71.9 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
5,145.675,145.075,0.600000,Minus,FM,DB0ARB,On,Tone,71.9 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
6,439.1,431.5,7.600000,Minus,FM,DB0AV,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
7,439.175,431.575,7.600000,Minus,FM,DB0BEL,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
8,439.25,431.65,7.600000,Minus,FM,DB0BKN,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
9,439.275,431.675,7.600000,Minus,FM,DB0BLO,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
10,439.3125,431.7125,7.600000,Minus,FM,DB0BRH,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
11,145.725,145.125,0.600000,Minus,FM,DB0BRL,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
12,438.975,431.375,7.600000,Minus,FM,DB0CAL,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
13,438.85,431.25,7.600000,Minus,FM,DB0CBS,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
14,1298.375,1270.375,28.000000,Minus,FM,DB0CHA,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
15,438.925,431.325,7.600000,Minus,FM,DB0CHA,On,Tone,71.9 Hz,71.9 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
16,438.7,431.7,7.000000,Minus,FM,DB0CSD,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
17,145.675,145.075,0.600000,Minus,FM,DB0DD,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
18,145.7375,145.1375,0.600000,Minus,FM,DB0DO,On,Tone,67.0 Hz,67.0 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
19,439.4875,431.8875,7.600000,Minus,FM,DB0DS,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
20,145.6375,145.0375,0.600000,Minus,FM,DB0DVR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
21,438.575,430.975,7.600000,Minus,FM,DB0DVR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
22,438.675,431.075,7.600000,Minus,FM,DB0EG,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
23,439.275,431.675,7.600000,Minus,FM,DB0EL,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
24,439.1125,431.5125,7.600000,Minus,FM,DB0ERZ,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
25,438.65,431.05,7.600000,Minus,FM,DB0FFO,On,Tone,67.0 Hz,67.0 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
